ISO	Country	hlthExpGDP	YhlthExpGDP	hlthExpCap	YhlthExpCap
ALB	Albania	6.8	2017	 583	2017
AUT	Austria	10.3	2017	3945	2017
BEL	Belgium	10.0	2017	3493	2017
BGR	Bulgaria	8.4	2017	1234	2017
HRV	Croatia	7.5	2017	1367	2017
CYP	Cyprus	6.8	2017	1722	2017
CZE	Czech Republic	7.1	2017	1873	2017
DNK	Denmark	10.2	2017	3831	2017
EST	Estonia	6.7	2017	1551	2017
EU28	EU28	9.6	2017	2773	2017
FIN	Finland	9.2	2017	3013	2017
FRA	France	11.5	2017	3572	2017
MKD	FYR of Macedonia	6.1	2017	 638	2017
DEU	Germany	11.3	2017	4160	2017
GRC	Greece	8.4	2017	1678	2017
HUN	Hungary	7.2	2017	1473	2017
ISL	Iceland	8.5	2017	3309	2017
IRL	Ireland	7.1	2017	3930	2017
ITA	Italy	8.9	2017	2551	2017
LVA	Latvia	6.3	2017	1252	2017
LTU	Lithuania	6.3	2017	1463	2017
LUX	Luxembourg	6.1	2017	4713	2017
MLT	Malta	8.9	2017	2568	2017
MNE	Montenegro	5.9	2017	 728	2017
NLD	Netherlands	10.1	2017	3885	2017
NOR	Norway	10.4	2017	4653	2017
POL	Poland	6.7	2017	1409	2017
PRT	Portugal	9.0	2017	2066	2017
ROU	Romania	5.2	2017	 983	2017
SRB	Serbia	9.4	2017	 987	2017
SVK	Slovak Republic	7.1	2017	1625	2017
SVN	Slovenia	8.0	2017	2023	2017
ESP	Spain	8.8	2017	2446	2017
SWE	Sweden	10.9	2017	4019	2017
CHE	Switzerland	12.3	2017	5799	2017
TUR	Turkey	4.2	2017	 824	2017
GBR	United Kingdom	9.6	2017	3045	2017
