ISO	Country	alcohol	smoking	Yobesity	Aobesity	Yalcohol	Ysmoking	Yyobesity	Yaobesity
LTU	Lithuania	13.20	20.4	10	16.6	2016	2014	2015-17	2014
FRA	France	11.70	22.4	8	15.3	2016	2014	2015-17	2014
CZE	Czech Republic	11.70	19.6	8	18.7	2016	2016	2015-17	2014
BGR	Bulgaria	11.50	28.2	14	14.8	2016		2015-17	2014
AUT	Austria	11.40	24.3	9	14.7	2015	2014	2015-17	2014
LUX	Luxembourg	11.30	16		15.6	2016	2017		2014
IRL	Ireland	11.20	18	7	18	2016	2017	2015-17	2015
LVA	Latvia	11.20	24.7	8	18.8	2016	2014	2015-17	2014
DEU	Germany	10.90	18.8		16.4	2016	2016		2014
HUN	Hungary	10.80	25.8	13	21.2	2015	2014	2015-17	2014
PRT	Portugal	10.7	16.8	11	16.6	2016	2014	2015-17	2014
SVN	Slovenia	10.5	18.9	9	19.2	2016	2014	2015-17	2014
BEL	Belgium	10.40	18.9		13.7	2015	2013		2013
ROU	Romania	10.4	19.8	12	9.4	2015		2015-17	2014
POL	Poland	10.40	22.7	12	16.7	2016	2014	2015-17	2014
HRV	Croatia	10.30	25	13	18.7	2016		2015-17	2014
EST	Estonia	9.90	21.3	10	19.5	2016	2016	2015-17	2014
SVK	Slovak Republic	9.9	22.9	11	16.3	2016	2014	2015-17	2014
EU28	EU28	9.82	19.99		15.7	2015			
CYP	Cyprus	9.60	25.7	20	14.5	2016		2015-17	2014
GBR	United Kingdom	9.5	16.1		20.1	2016	2016		2014
DNK	Denmark	9.40	16.9	5	14.9	2016	2017	2015-17	2014
ESP	Spain	8.6	23	18	16.7	2016	2014	2015-17	2014
FIN	Finland	8.40	15	10	18.3	2016	2016	2015-17	2014
NLD	Netherlands	8.30	18		13.3	2016	2016		2014
MLT	Malta	8.00	20.1	17	26	2016		2015-17	2014
SWE	Sweden	7.2	10.9	9	12.2	2016	2016	2015-17	2014
ITA	Italy	7.10	20	18	10.3	2016	2016	2015-17	2014
GRC	Greece	6.50	27.3	17	17	2016	2014	2015-17	2014
CHE	Switzerland	9.30	17.8		10.3	2016	2012		2012
SRB	Serbia	9.20	29.2	13		2016	2013	2015-17	
ISL	Iceland	7.50	9.7		19	2016	2017		2015
MNE	Montenegro	6.40	31	14		2015	2012	2015-17	
NOR	Norway	6.00	11	6	12	2016	2017	2015-17	2015
ALB	Albania	5.10	23.9	8		2016	2015	2015-17	
MKD	FYR of Macedonia	4.80		15		2016		2015-17	
TUR	Turkey	1.30	26.5	11	19.9	2016	2016	2015-17	2014
EU23	EU23			12				2015-17	
