ISO	Country	TLifeExp	FLifeExp	MLifeExp	LIRepHltg	TRepHltg	HIRepHltg	YTLifeExp	YFLifeExp	YMLifeExp	YLIRepHltg	YTRepHltg	YHIRepHltg
ALB	Albania	78.5	80.1	77.0				2014-2016	2014-2016	2014-2016			
AUT	Austria	81.8	84.1	79.3	62	70	80	2014-2016	2014-2016	2014-2016	2016	2016	2016
BEL	Belgium	81.5	84.0	79.0	59	74	87	2014-2016	2014-2016	2014-2016	2016	2016	2016
BGR	Bulgaria	74.9	78.5	71.3	60	66	81	2014-2016	2014-2016	2014-2016	2016	2016	2016
HRV	Croatia	78.2	81.3	75.0	45	59	74	2014-2016	2014-2016	2014-2016	2016	2016	2016
CYP	Cyprus	82.3	84.3	80.2	68	79	88	2014-2016	2014-2016	2014-2016	2016	2016	2016
CZE	Czech Republic	79.1	82.1	76.1	44	60	79	2014-2016	2014-2016	2014-2016	2016	2016	2016
DNK	Denmark	80.9	82.8	79.0	66	71	84	2014-2016	2014-2016	2014-2016	2016	2016	2016
EST	Estonia	78.0	82.2	73.3	33	53	79	2014-2016	2014-2016	2014-2016	2016	2016	2016
EU28	EU28	81.0	83.6	78.2	60	68	78	2014-2016	2014-2016	2014-2016	2016	2016	2016
FIN	Finland	81.5	84.4	78.6	57	70	83	2014-2016	2014-2016	2014-2016	2016	2016	2016
FRA	France	82.7	85.7	79.5	61	66	72	2014-2016	2014-2016	2014-2016	2016	2016	2016
MKD	FYR of Macedonia	75.4	77.5	73.4	77	78	84	2014-2016	2014-2016	2014-2016	2016	2016	2016
DEU	Germany	81.0	83.5	78.6	52	65	79	2014-2016	2014-2016	2014-2016	2016	2016	2016
GRC	Greece	81.5	84.0	78.9	76	74	82	2014-2016	2014-2016	2014-2016	2016	2016	2016
HUN	Hungary	76.2	79.7	72.6	52	60	74	2014-2016	2014-2016	2014-2016	2016	2016	2016
ISL	Iceland	82.5	84.1	81.0	69	76	84	2014-2016	2014-2016	2014-2016	2015	2015	2015
IRL	Ireland	81.8	83.6	79.9	72	83	93	2014-2016	2014-2016	2014-2016	2016	2016	2016
ITA	Italy	83.4	85.6	81.0	69	71	77	2014-2016	2014-2016	2014-2016	2016	2016	2016
LVA	Latvia	74.9	79.6	69.8	28	47	69	2014-2016	2014-2016	2014-2016	2016	2016	2016
LTU	Lithuania	74.9	80.1	69.5	29	43	67	2014-2016	2014-2016	2014-2016	2016	2016	2016
LUX	Luxembourg	82.5	85.1	79.8	65	69	74	2014-2016	2014-2016	2014-2016	2016	2016	2016
MLT	Malta	82.2	84.3	80.1	57	73	88	2014-2016	2014-2016	2014-2016	2016	2016	2016
MNE	Montenegro	76.5	78.8	74.2	67	70	78	2014-2016	2014-2016	2014-2016	2014	2014	2014
NLD	Netherlands	81.7	83.2	80.0	65	76	86	2014-2016	2014-2016	2014-2016	2016	2016	2016
NOR	Norway	82.5	84.2	80.7	69	77	86	2014-2016	2014-2016	2014-2016	2016	2016	2016
POL	Poland	78.0	82.0	73.9	52	59	72	2014-2016	2014-2016	2014-2016	2016	2016	2016
PRT	Portugal	81.3	84.3	78.1	36	48	61	2014-2016	2014-2016	2014-2016	2016	2016	2016
ROU	Romania	75.3	79.1	71.7	74	71	77	2014-2016	2014-2016	2014-2016	2016	2016	2016
SRB	Serbia	75.7	78.3	73.2	54	57	66	2014-2016	2014-2016	2014-2016	2016	2016	2016
SVK	Slovak Republic	77.3	80.7	73.8	64	67	80	2014-2016	2014-2016	2014-2016	2016	2016	2016
SVN	Slovenia	81.2	84.3	78.2	53	65	76	2014-2016	2014-2016	2014-2016	2016	2016	2016
ESP	Spain	83.5	86.3	80.5	71	73	82	2014-2016	2014-2016	2014-2016	2016	2016	2016
SWE	Sweden	82.4	84.1	80.6	64	75	86	2014-2016	2014-2016	2014-2016	2016	2016	2016
CHE	Switzerland	83.7	85.6	81.7	67	78	86	2014-2016	2014-2016	2014-2016	2016	2016	2016
TUR	Turkey	78.1	81.0	75.4				2014-2016	2014-2016	2014-2016			
GBR	United Kingdom	81.2	83.0	79.4	60	69	83	2014-2016	2014-2016	2014-2016	2016	2016	2016
